model,contrast,group,lhs_condition,rhs_condition,metric,n_items,lhs_mean,rhs_mean,estimate,ci_low,ci_high,p_value,effect_size_dz,interpretation,estimate_pp,ci_low_pp,ci_high_pp,estimate_with_ci,p_value_display
qwen2.5:7b-instruct,christian_pre_vs_secular_pre_j1_act_shift,first_pass,christian_pre,secular_pre,first-pass act shift vs baseline,120,0.0,0.008333333333333333,-0.008333333333333333,-0.025,0.0,1.0,-0.09128709291752768,"For first-pass act shift vs baseline, Christian falls below the matched secular control; the contrast shows virtually no difference but the paired test remains weak.",-0.8333333333333334,-2.5,0.0,"-0.83 pp [-2.50, +0.00]",1.000
qwen2.5:7b-instruct,christian_pre_vs_secular_pre_j1_heart_shift,first_pass,christian_pre,secular_pre,first-pass heart shift vs baseline,120,0.09166666666666666,0.075,0.016666666666666666,0.0,0.041666666666666664,0.4941011797640472,0.12964532233952666,"For first-pass heart shift vs baseline, Christian exceeds the matched secular control; the contrast shows a modest difference but the paired test remains weak.",1.6666666666666667,0.0,4.166666666666666,"+1.67 pp [+0.00, +4.17]",0.494
qwen2.5:7b-instruct,christian_post_vs_secular_post_explanation_raw,explanation,christian_post,secular_post,raw Christian/heart-language score,120,0.8333333333333334,0.85,-0.016666666666666666,-0.15833333333333333,0.11666666666666667,0.9078184363127374,-0.021735850502751758,"For raw Christian/heart-language score, Christian falls below the matched secular control; the contrast shows a modest difference but the paired test remains weak.",-1.6666666666666667,-15.833333333333332,11.666666666666666,"-1.67 pp [-15.83, +11.67]",0.908
qwen2.5:7b-instruct,christian_post_vs_secular_post_explanation_controlled,explanation,christian_post,secular_post,lexical-controlled motive/heart semantic score,120,0.25833333333333336,0.30833333333333335,-0.05,-0.13333333333333333,0.016666666666666666,0.29454109178164367,-0.11708833169600992,"For lexical-controlled motive/heart semantic score, Christian falls below the matched secular control; the contrast shows a clearer difference but the paired test remains weak.",-5.0,-13.333333333333334,1.6666666666666667,"-5.00 pp [-13.33, +1.67]",0.295
qwen2.5:7b-instruct,christian_post_vs_secular_post_restructure_beyond_echo,explanation,christian_post,secular_post,restructuring beyond direct echo,120,0.05,0.075,-0.025,-0.06666666666666667,0.008333333333333333,0.3703259348130374,-0.12288825347704962,"For restructuring beyond direct echo, Christian falls below the matched secular control; the contrast shows a modest difference but the paired test remains weak.",-2.5,-6.666666666666667,0.8333333333333334,"-2.50 pp [-6.67, +0.83]",0.370
qwen2.5:7b-instruct,christian_post_vs_secular_post_explanation_raw_presence,explanation,christian_post,secular_post,raw Christian/heart-language presence,120,0.6,0.6,0.0,-0.09166666666666666,0.08333333333333333,1.0,0.0,"For raw Christian/heart-language presence, Christian and secular are tied; the paired test remains weak.",0.0,-9.166666666666666,8.333333333333332,"+0.00 pp [-9.17, +8.33]",1.000
qwen2.5:7b-instruct,christian_post_vs_secular_post_explanation_controlled_presence,explanation,christian_post,secular_post,lexical-controlled motive/heart presence,120,0.25,0.275,-0.025,-0.09166666666666666,0.03333333333333333,0.6134773045390922,-0.07059213540642849,"For lexical-controlled motive/heart presence, Christian falls below the matched secular control; the contrast shows a modest difference but the paired test remains weak.",-2.5,-9.166666666666666,3.3333333333333335,"-2.50 pp [-9.17, +3.33]",0.613
qwen2.5:7b-instruct,christian_post_vs_secular_post_dissociated_explanation_shift,mechanism,christian_post,secular_post,dissociated explanation shift with J1 fixed,120,0.175,0.18333333333333332,-0.008333333333333333,-0.06666666666666667,0.041666666666666664,1.0,-0.027419558641746274,"For dissociated explanation shift with J1 fixed, Christian falls below the matched secular control; the contrast shows virtually no difference but the paired test remains weak.",-0.8333333333333334,-6.666666666666667,4.166666666666666,"-0.83 pp [-6.67, +4.17]",1.000
qwen2.5:7b-instruct,christian_post_vs_secular_post_j2_act_revision,revision,christian_post,secular_post,J1 to J2 act revision,120,0.008333333333333333,0.03333333333333333,-0.025,-0.058333333333333334,0.0,0.2391521695660868,-0.15945955734088327,"For J1 to J2 act revision, Christian falls below the matched secular control; the contrast shows a modest difference but the paired test remains weak.",-2.5,-5.833333333333333,0.0,"-2.50 pp [-5.83, +0.00]",0.239
qwen2.5:7b-instruct,christian_post_vs_secular_post_j2_heart_revision,revision,christian_post,secular_post,J1 to J2 heart revision,120,0.06666666666666667,0.08333333333333333,-0.016666666666666666,-0.041666666666666664,0.0,0.5026994601079784,-0.12964532233952666,"For J1 to J2 heart revision, Christian falls below the matched secular control; the contrast shows a modest difference but the paired test remains weak.",-1.6666666666666667,-4.166666666666666,0.0,"-1.67 pp [-4.17, +0.00]",0.503
